University,Overall,Rank,Citation,Fac_Stud,Int_Fac,Acad_Rep,Emp_Rep,Int_Stud
"University of California, Santa Cruz",45.2,269,93,,75.8,40.1,,
"National University of Ireland, Galway",45,271,,72.3,89.2,34.4,45.3,53.4
Indian Institute of Technology Kanpur (IITK),45,271,66.5,,,45.4,59.7,
RMIT University,44.9,273,,,100,44.5,85.3,80.7
Wuhan University,44.9,273,50.6,,64.6,49.9,45,
"SOAS, University of London",44.8,275,,52.2,100,42.2,,100
Al-Farabi Kazakh National University,44.8,275,,92.2,,47.6,44.7,
Dalhousie University,44.7,277,72,,99.8,37,,63.2
Nankai University,44.7,277,75.2,43.2,,40,,
Charles University in Prague,44.6,279,,48.6,,57.9,55.9,48.1
University of Miami,44.5,280,41.4,94.3,,,,49.7
Hong Kong Baptist University,44.3,281,55.4,52.5,98.4,,,90.2
Boston College,44.2,282,65.5,,94,34.7,55.7,
Universidad de los Andes,43.9,283,,,34.8,65.5,87.7,
Curtin University,43.8,284,39.5,,100,38.9,54.3,72.7
University of Ottawa,43.8,284,63.2,,75.3,46.7,,49.2
LinkÃ¶ping University,43.7,286,,72.8,37.2,,60.6,
"Indian Institute of Technology, Kharagpur",43.7,286,91.3,,,37.2,61.7,
University of South Australia,43.6,288,42.6,,100,34,57.9,61
Universiti Sains Malaysia (USM),43.4,289,,44.3,,50.2,41.1,
"Birkbeck, University of London",43.1,290,76,,93.4,,,97.8
Universidad Nacional de Colombia,43.1,290,,,,71.2,92.1,
Harbin Institute of Technology,43,291,78.3,49.4,,,,
Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg,42.9,292,98.5,,30.6,38.4,39.3,
Ecole Normale SupÃ©rieure de Cachan,42.8,293,43.8,91.7,,,,
Tilburg University,42.8,293,72.5,,78.3,,53.9,
UniversitÃ¤t Innsbruck,42.6,295,,,95.2,43.5,39.7,98.6
Universitat Pompeu Fabra,42.6,295,51.4,,80.7,42.4,,39.8
Kyung Hee University,42.6,295,,72.6,,34,60.3,39.6
Mahidol University,42.6,295,,85,,49.1,,
Universitat PolitÃ¨cnica de Catalunya,42.5,299,,62.1,,43,42.9,
City University London,42.4,301,37.9,,92.9,,79.4,100
Stellenbosch University,42.3,302,81.5,,57,39.9,,
University of Essex,41.9,303,55,,98.4,,,99.7
King Abdulaziz University (KAU),41.9,303,,70.3,96.7,34.4,,69.9
Universiti Teknologi Malaysia,41.9,303,,77.9,74,32.8,,66.4
University of Milan,41.8,306,39.2,,,61.7,43.1,
Sun Yat-sen University,41.7,307,58.2,,43,45.3,42.2,
University of Porto,41.6,308,61.9,,,49.3,39.9,
North Carolina State University,41.4,309,65.3,,33.8,36.1,,41.6
Universidad Austral,41.4,309,,92.9,,36.5,65.4,
UniversitÃ  di Padova,41.4,309,,,,64.3,,
University of Iowa,41.3,312,51.3,52.4,,40.4,,39.5
Universiti Kebangsaan Malaysia (UKM),41.3,312,,50.1,72.9,49,,
Ã‰cole des Ponts ParisTech,41.1,314,,93.6,,,74.5,96.2
Politecnico di Torino,41.1,314,77.2,,,38.8,64.1,53.7
Universidad Carlos III de Madrid (UC3M),41.1,314,,62,36.6,41.8,63.7,
Novosibirsk State University,41,317,,89,,35.1,43.6,45.6
Heriot-Watt University,40.5,318,45.2,,96.7,,63,99.9
University of Victoria,40.4,319,81.1,,84.4,,,44.3
UniversitÃ¤t Konstanz,40.4,319,,45.2,59.2,42.9,,
University of JyvÃ¤skylÃ¤,40.4,319,,88.7,40.5,,,
Umea University,40.4,319,,84,35.1,,,
Universidade Federal do Rio de Janeiro,40.3,323,,,,65.6,,
Oxford Brookes University,40.1,324,,,65.8,39.3,81.4,83.6
Deakin University,40.1,324,40.5,,98.2,41.2,54.5,55.6
Laval University,40.1,324,38.9,,67.7,37.6,39.9,38.9
George Washington University,40,327,,,,41.5,50.8,49.5
University of Hawai'i at MaÃ±oa,40,327,46.3,67.6,64.6,,,
University of St.Gallen (HSG),39.9,329,65.2,,100,,95.2,96
Griffith University,39.9,329,42.1,,96.7,34.8,47.9,69.2
Brunel University London,39.7,331,56.2,,95.5,,40.6,98.9
Universiti Putra Malaysia (UPM),39.7,331,,48.1,44.5,43.5,,57.2
University of Cologne,39.7,331,,,,52.3,67.5,
University of the Witwatersrand,39.7,331,36.9,,88.7,41.6,43.3,
Xiâ€™an Jiaotong University,39.7,331,45.1,56.9,,33.1,46,
Massey University,39.4,337,,,95.1,38.7,41.2,48.3
University of Waikato,39.2,338,53.6,,96.4,,49.6,77.8
University at Buffalo SUNY,39.2,338,78.5,,70,,,72.7
University Ulm,39.2,338,59.3,79.5,48.4,,,
Virginia Polytechnic Institute and State University,39.2,338,48.5,,,38.7,42,
National Yang Ming University,39.2,338,45.8,99.4,,,,
Bauman Moscow State Technical University,39.2,338,,99.8,,,65.5,
University of Warsaw,39,344,,,,50.9,64.4,
Tongji University,38.9,345,45.2,,48.9,37.2,46.6,
The American University in Cairo,38.9,345,,49.2,93,36.8,77.4,
Aston University,38.8,346,51,,93.3,,53.5,93
University of Eastern Finland,38.8,347,,77.5,46,,,
Rensselaer Polytechnic Institute,38.5,348,98.1,,,,,49.2
Hiroshima University,38.5,348,,88.1,,33.8,,
Pontificia Universidad CatÃ³lica Argentina Santa MarÃ­a de los Buenos Aires - UCA,38.4,350,,69,,35.5,86.2,
UniversitÃ¤t Bremen,38.2,351,,53.7,42.6,39.5,,
Universidade Nova de Lisboa,38.2,351,,48,39.5,35.7,51.7,
Dublin City University,38.1,353,,48.1,84.5,,49,58.8
Ewha Womans University,38,354,,78.5,,,,
Iowa State University,37.9,355,71,,,36.4,,
Aalborg University,37.8,356,,,69.4,33.5,57.6,48.7
Tampere University of Technology,37.8,356,,89.2,72.7,,,
University of Oulu,37.7,358,43.1,61.4,42.4,,,
